Date,Open,High,Low,Close,Adj Close,Volume
1970-09-28,13.790631,13.957935,13.718929,13.862333,3.369977,516724
1970-09-29,13.862333,13.993786,13.671128,13.945985,3.390316,801236
1970-09-30,13.945985,14.125239,13.934034,13.945985,3.390316,893284
1970-10-01,13.945985,14.196941,13.945985,14.196941,3.451324,518816
1970-10-02,14.232792,14.388145,14.232792,14.304493,3.477470,1018804
1970-10-05,14.364245,14.722753,14.364245,14.663002,3.564626,765672
1970-10-06,14.674952,14.806405,14.674952,14.680927,3.568981,853536
1970-10-07,14.674952,14.674952,14.412046,14.615201,3.553001,728016
1970-10-08,14.579350,14.579350,14.244742,14.256692,3.465850,807512
1970-10-09,14.256692,14.268642,14.053537,14.155115,3.441153,801236
1970-10-12,14.089388,14.089388,13.790631,13.874283,3.372882,640152
1970-10-13,13.874283,14.005736,13.671128,13.957935,3.393219,579484
1970-10-14,13.957935,14.089388,13.874283,13.934034,3.387408,368192
1970-10-15,13.934034,14.095363,13.934034,14.005736,3.404841,441412
1970-10-16,14.005736,14.029637,13.862333,13.898184,3.378694,648520
1970-10-19,13.706979,13.706979,13.527725,13.599426,3.306065,801236
1970-10-20,13.599426,13.957935,13.599426,13.916109,3.383051,535552
1970-10-21,13.916109,14.125239,13.802581,13.808556,3.356905,592036
1970-10-22,13.808556,13.838432,13.683078,13.766730,3.346739,399572
1970-10-23,13.802581,14.113289,13.802581,14.101338,3.428079,418400
1970-10-26,14.089388,14.089388,13.814532,13.850382,3.367075,412124
1970-10-27,13.850382,13.910134,13.814532,13.910134,3.381598,468608
1970-10-28,13.910134,14.208891,13.838432,14.173040,3.445513,571116
1970-10-29,14.196941,14.340344,14.196941,14.268642,3.468753,792868
1970-10-30,14.196941,14.196941,14.005736,14.053537,3.430252,623416
1970-11-02,14.053537,14.328394,13.993786,14.328394,3.497339,721740
1970-11-03,14.328394,14.376195,14.155115,14.155115,3.455043,566932
1970-11-04,14.161090,14.364245,14.161090,14.161090,3.456505,476976
1970-11-05,14.161090,14.173040,13.981836,13.987811,3.414208,575300
1970-11-06,13.987811,14.053537,13.934034,14.053537,3.430252,600404
1970-11-09,14.113289,14.292543,14.113289,14.220841,3.471088,953952
